,Filename,Count,MP_ID,nElements,EboveHull,Material,FormationEnergy,Predicted_CT
38478,38479_Mg1Te2Mo1W2Se2S2.poscar,38480,mp-2240101,6,0.355649651,MgTe2MoW2(SeS)2,-0.610798521,18.590157
38480,38481_Mg1In3.poscar,38482,mp-973320,2,0.013489705,MgIn3,-0.019654802,2.874776
38496,38497_Mg4Al12Si4B4O36.poscar,38498,mp-1210669,5,0.0,MgAl3SiBO9,-3.309824363,61.266903
38504,38505_Mg5As1.poscar,38506,mp-973307,2,0.223027329,Mg5As,-0.037858579,2.5174508
38544,38545_Na30Mg12In12Si9S27O144.poscar,38546,mp-2714726,6,0.090026181,Na10Mg4In4Si3(S3O16)3,-2.284280289,15.94504
38549,38550_Sr2Gd1Mg1Ru1O6.poscar,38551,mp-2217680,5,0.27817864,Sr2GdMgRuO6,-2.623411049,27.22281
38550,38551_Mg1Nb1V1O4.poscar,38552,mp-2225304,4,0.152100352,MgNbVO4,-2.615532514,4.9786606
38553,38554_Mg4Ga2.poscar,38555,mp-1094635,2,0.062237403,Mg2Ga,-0.074549761,5.393814
38555,38556_Mg1V4O10.poscar,38557,mp-2224458,3,0.118390043,MgV4O10,-2.392602687,13.052538
38562,38563_Mg7Si4O16.poscar,38564,mp-1222121,3,0.113250629,Mg7(SiO4)4,-2.992407509,56.21327
38586,38587_Ba1La1Mg1Ta1O6.poscar,38588,mp-40251,5,0.079565701,BaLaMgTaO6,-3.439474161,5.2032576
38587,38588_Sr1Mg6Fe1O8.poscar,38589,mp-1032435,4,0.192599129,SrMg6FeO8,-2.67457546,16.091099
38593,38594_Tb8Mg4Se16.poscar,38595,mp-1232284,3,0.019911282,Tb2MgSe4,-1.944901071,19.198795
38609,38610_Na3Mg3Ga9S18O72.poscar,38611,mp-2714722,5,0.010662075,NaMgGa3(SO4)6,-2.048705224,37.283756
38623,38624_Mg3Cu9O12.poscar,38625,mp-1222114,3,0.071658144,MgCu3O4,-1.399425248,5.2989264
38624,38625_Mg8Si4.poscar,38626,mp-1074703,2,0.221933315,Mg2Si,0.093207908,3.2530127
38643,38644_La1Mg2Ni9.poscar,38645,mp-5134,3,0.004644421,LaMg2Ni9,-0.246483605,5.3225226
38644,38645_Mg2H2.poscar,38646,mp-1185871,2,0.331403203,MgH,0.107573767,4.8403687
38646,38647_Li2La2Mg12.poscar,38648,mp-1021296,3,0.116747562,LiLaMg6,0.025634511,5.3676987
38647,38648_Mg4Sc8Se16.poscar,38649,mp-1232162,3,0.162951819,Mg(ScSe2)2,-1.683631348,17.688145
38656,38657_Hf1Mg14B1O15.poscar,38658,mp-1033909,4,0.350482744,HfMg14BO15,-2.651805858,18.19292
38661,38662_Cs8Mg6H20.poscar,38663,mp-697948,3,0.0,Cs4Mg3H10,-0.33301353,15.998204
38668,38669_Mg6V1Si1O8.poscar,38670,mp-1031664,4,0.338526467,Mg6VSiO8,-2.598327996,3.5747662
38671,38672_Ba1Nd1Mg1Co2O6.poscar,38673,mp-2224174,5,0.60232311,BaNdMg(CoO3)2,-1.905440106,3.7113562
38698,38699_Mg1Mn3Cu2O8.poscar,38700,mp-2228558,4,0.102410339,MgMn3(CuO4)2,-1.73400818,2.4802923
38704,38705_Mg2Cu4O8.poscar,38706,mp-1400865,3,0.096230935,Mg(CuO2)2,-1.403176846,4.1761394
38706,38707_K1Mg1H3.poscar,38708,mp-23737,3,0.0,KMgH3,-0.357352512,19.707012
38713,38714_La4Mg1Ti3O12.poscar,38715,mp-2230488,4,0.016777899,La4MgTi3O12,-3.663665049,6.0576158
38736,38737_Rb1Mg1Cu2H3S2O10.poscar,38738,mp-1233370,6,0.135802466,RbMgCu2H3(SO5)2,-1.662425295,20.677498
38738,38739_Rb1Mg1Cu2H3S2O10.poscar,38740,mp-1233327,6,0.092302614,RbMgCu2H3(SO5)2,-1.705925147,23.95958
38742,38743_Mg12Mn2Si2.poscar,38744,mp-1023005,3,0.247179197,Mg6MnSi,0.123780793,5.239263
38744,38745_Mg40O40.poscar,38746,mp-1245143,2,0.341307612,MgO,-2.712732688,21.016174
38761,38762_K1Rb1Mg6O7.poscar,38763,mp-1031270,4,0.482441356,KRbMg6O7,-2.201549645,36.512337
38784,38785_Pr8Mg4S16.poscar,38786,mp-1232137,3,0.194997378,Pr2MgS4,-1.966958638,6.816458
38805,38806_Mg6Mn1Al1O8.poscar,38807,mp-1033146,4,0.219547197,Mg6MnAlO8,-2.74213673,5.063627
38817,38818_Lu1Mg1Hg2.poscar,38819,mp-865226,3,0.0,LuMgHg2,-0.41974167,4.2064624
38818,38819_Mg1Mn4Cd2O8.poscar,38820,mp-2241364,4,0.112733521,MgMn4Cd2O8,-1.879742184,2.4637659
38833,38834_Mg4V4O8.poscar,38835,mp-1392653,3,0.31068211,MgVO2,-2.286241504,5.188656
38840,38841_Ba3La9Mg7Nb5O36.poscar,38842,mp-695278,5,0.100546368,Ba3La9Mg7Nb5O36,-3.375913386,5.1387854
38844,38845_Sr2Mg1Ni1Ir1O6.poscar,38846,mp-2223894,5,0.224639994,Sr2MgNiIrO6,-2.066688721,38.94984
38847,38848_Mg1Al4Tl4O12.poscar,38849,mp-1233311,4,0.248801671,MgAl4Tl4O12,-2.153667257,6.3729296
38854,38855_Mg1Fe6O11F1.poscar,38856,mp-2231706,4,0.192067209,MgFe6O11F,-1.62226215,5.4965415
38877,38878_Mg3Ti4P6O24.poscar,38879,mp-1222269,4,0.055926253,Mg3Ti4(PO4)6,-2.995501718,5.583148
38894,38895_Ba1Mg30Nb1O32.poscar,38896,mp-1098550,4,0.14436089,BaMg30NbO32,-2.888243732,9.87941
38896,38897_Mg14P4H16O32.poscar,38898,mp-699232,4,0.0,Mg7P2(HO2)8,-2.43334338,28.130033
38907,38908_Mg14Cd1Bi1.poscar,38909,mp-1026450,3,0.053968741,Mg14CdBi,-0.016967955,5.009366
38908,38909_Mg1Cu1P4Ru2O14.poscar,38910,mp-1233269,5,0.146327643,MgCuP4(RuO7)2,-2.133026161,4.5812225
38930,38931_Sr2Mg1V1O4.poscar,38932,mp-2226139,4,0.54667444,Sr2MgVO4,-2.29953685,4.478567
38955,38956_Ho2Mg1Bi4O12.poscar,38957,mp-2230967,4,0.233239443,Ho2Mg(BiO3)4,-2.090774744,4.4609613
38971,38972_Mg4Si8.poscar,38973,mp-1073459,2,0.302919282,MgSi2,0.238556578,3.799222
38976,38977_La1Mg14C1.poscar,38978,mp-1026746,3,0.342314658,LaMg14C,0.30257185,2.8460135
38980,38981_Mg1Mn2O2F2.poscar,38982,mp-2210604,4,0.180194046,MgMn2(OF)2,-2.592329008,4.5677795
38990,38991_Mg2As2H32N2O20.poscar,38992,mp-1222268,5,0.0,MgAsH16NO10,-1.375216781,35.50531
39021,39022_Mg30V1Fe1O32.poscar,39023,mp-1037070,4,0.014371149,Mg30VFeO32,-2.972253762,15.007449
39023,39024_Rb4Mg1Ti2Cu4S8.poscar,39025,mp-2230081,5,0.253745121,Rb4MgTi2(CuS2)4,-1.012232652,8.656005
39036,39037_La3Mg1.poscar,39038,mp-1094759,2,0.045494543,La3Mg,-0.009606594,7.5181746
39039,39040_Hf2Mg12Cr2.poscar,39041,mp-1016626,3,0.236225295,HfMg6Cr,0.202073305,5.0687647
39049,39050_Ca1Mg1Ni4.poscar,39051,mp-13434,3,0.006002521,CaMgNi4,-0.198844215,4.6412077
39066,39067_Mg1Sc2Nb2O8.poscar,39068,mp-2241366,4,0.199082925,MgSc2Nb2O8,-3.164161842,4.900195
39067,39068_Na9Mg9Zr3P3S15O72.poscar,39069,mp-2713627,6,0.015650446,Na3Mg3ZrPS5O24,-2.475736047,13.860303
39084,39085_Cs1Mg14B1O16.poscar,39086,mp-1099218,4,0.33755105,CsMg14BO16,-2.660496694,57.93377
39100,39101_Mg1Fe1Cu1S2.poscar,39102,mp-2226158,4,0.492730001,MgFeCuS2,-0.481457293,3.1748123
39102,39103_Mg1Sn5.poscar,39104,mp-1094229,2,0.068538923,MgSn5,0.021732567,16.460777
39112,39113_Pr2Mg1Mo4O12.poscar,39114,mp-2230300,4,0.073333743,Pr2Mg(MoO3)4,-2.513954691,2.7640235
39137,39138_Sr2Mg2U2H48C6O46.poscar,39139,mp-707710,6,0.015646904,SrMgUH24C3O23,-1.713935513,5.7199802
39149,39150_Mg1Mn5O7F1.poscar,39151,mp-2226474,4,0.053409284,MgMn5O7F,-2.25480119,3.2985637
39164,39165_Tb1Mg1Cd2.poscar,39166,mp-862767,3,0.0,TbMgCd2,-0.310697353,5.255401
39172,39173_Mg16Al12Sn1.poscar,39174,mp-1185711,3,0.019034677,Mg16Al12Sn,-0.023707759,4.4906855
39198,39199_Rb2Mg1Cu4H5S4O20.poscar,39200,mp-1234789,6,0.051412427,Rb2MgCu4H5(SO5)4,-1.66331098,2.810121
39240,39241_Ho8Mg12Ge16.poscar,39242,mp-1212419,3,0.018422569,Ho2Mg3Ge4,-0.516626379,3.2989812
39245,39246_Mg1Sc1Zn2.poscar,39247,mp-1185961,3,0.0,MgScZn2,-0.315079944,4.25231
39252,39253_Mg1Ti2Zn2P2O10.poscar,39254,mp-1233970,5,0.297365754,MgTi2Zn2(PO5)2,-2.490750752,11.635654
39257,39258_Mg30Cu1Ni1O32.poscar,39259,mp-1037407,4,0.011277175,Mg30CuNiO32,-2.920820445,23.981964
39263,39264_Ba2Mg3Tl2Ni4O12.poscar,39265,mp-1813181,5,0.359705259,Ba2Mg3Tl2(NiO3)4,-1.634568506,27.42149
39270,39271_Mg2Si2.poscar,39272,mp-1073737,2,0.25210952,MgSi,0.155565465,3.1900275
39273,39274_Mg12C6Cl6O42.poscar,39275,mp-1224591,4,0.522862429,Mg2CClO7,-1.310496057,3.0795927
39297,39298_Mg6Mn1Bi1O8.poscar,39299,mp-1032779,4,0.319215103,Mg6MnBiO8,-2.391954167,4.5568166
39305,39306_Sm46Mg8Ni14.poscar,39307,mp-1209695,3,0.292885409,Sm23Mg4Ni7,-0.192706531,5.2044907
39306,39307_Ca1Mg14Ga1.poscar,39308,mp-1028139,3,0.05699384,CaMg14Ga,-0.024089622,4.7220125
39313,39314_Li1Mg6B1O7.poscar,39315,mp-1031116,4,0.396079416,LiMg6BO7,-2.447942764,44.786194
39325,39326_Mg1Cu2Sn1Hg1S4.poscar,39327,mp-2222784,5,0.208486796,MgCu2SnHgS4,-0.549940544,2.342706
39330,39331_Th2Mg4.poscar,39332,mp-745,2,0.019182008,ThMg2,0.007586173,5.0333204
39341,39342_Ce4Mg4Si8.poscar,39343,mp-3545,3,0.0,CeMgSi2,-0.488021801,4.3855596
39360,39361_Mg30Nb1Si1O32.poscar,39362,mp-1039854,4,0.130620425,Mg30NbSiO32,-2.897344406,4.517652
39370,39371_Mg8Si4.poscar,39372,mp-1074636,2,0.198730451,Mg2Si,0.070005044,3.2479188
39379,39380_Dy1Mg16Al12.poscar,39381,mp-1184194,3,0.018424965,Dy(Mg4Al3)4,-0.064092667,4.4145446
39383,39384_Rb1Na1Mg14.poscar,39385,mp-1026667,3,0.180515755,RbNaMg14,0.159573365,6.2659354
39397,39398_Rb2Y2Mg12.poscar,39399,mp-1022637,3,0.295763983,RbYMg6,0.241242873,3.6045055
39406,39407_Mg1Zn2O3.poscar,39408,mp-1221931,3,0.095801037,MgZn2O3,-2.116569236,31.918362
39418,39419_Mg14Cd1Sn1O16.poscar,39420,mp-1034325,4,0.155447241,Mg14CdSnO16,-2.719659619,29.321
39433,39434_La4Mg1Co1O8.poscar,39435,mp-2228538,4,0.267283409,La4MgCoO8,-3.120372222,13.74252
39440,39441_Mg2B24O48.poscar,39442,mp-1201208,3,0.274452521,Mg(BO2)12,-2.189008735,4.0094523
39447,39448_Mg4Ti4.poscar,39449,mp-1094337,2,0.262435813,MgTi,0.252177946,5.1250772
39450,39451_Mg6Nb1Bi1O8.poscar,39452,mp-1033354,4,0.599049301,Mg6NbBiO8,-2.250974675,6.619653
39465,39466_Mg30Co1B1O32.poscar,39467,mp-1036995,4,0.097946261,Mg30CoBO32,-2.909269799,2.3065133
39472,39473_Sr1Mg14Fe1O16.poscar,39474,mp-1035624,4,0.093009661,SrMg14FeO16,-2.867597784,21.704573
39473,39474_Mg4I8O24.poscar,39475,mp-770718,3,0.044401322,Mg(IO3)2,-1.368120984,1.7136989
39477,39478_Mg8Si12.poscar,39479,mp-1073061,2,0.270005197,Mg2Si3,0.192769954,3.0437617
39482,39483_Mg1Ni4As4S4.poscar,39484,mp-2218730,4,0.323842305,MgNi4(AsS)4,-0.321625696,2.887476
39490,39491_Mg6Pd10.poscar,39492,mp-1210703,2,0.0,Mg3Pd5,-0.648497646,3.9838552
39506,39507_Mg10Si12.poscar,39508,mp-1075385,2,0.256898028,Mg5Si6,0.169130705,2.3087935
39507,39508_K4Mg1Cu3F12.poscar,39509,mp-1223957,4,0.007328589,K4MgCu3F12,-2.651192195,4.8524957
